PROGENY,FLOWERS_TO_POLLINATE_REQUIRED,PARENT1,P1L1FC,P1L1,P1L2FC,P1L2,P1L3FC,P1L3,P1L4FC,P1L4,PARENT2,P2L1FC,P2L1,P2L2FC,P2L2,P2L3FC,P2L3,P2L4FC,P2L4,RECIPROCAL_DONE,NEW_LABELS
2026-708,35,18-252.401,20B,,,,,,,,17-052.104,12A,,,,,,,,FALSE,FALSE
2026-707,47,21-214.107,12B - 14A,,,,,,,,18-274.401,22A,,,,,,,,FALSE,FALSE
2026-706,10,16-091.403,10B,,,,,,,,22-325.103,23A,,,,,,,,FALSE,FALSE
2026-705,24,16-007.401,20A,,,,,,,,104K  1,10A,,,,,,,,FALSE,FALSE
2026-704,35,18-252.401,20B,,,,,,,,14-063.103,10A - 09A,,,,,,,,FALSE,FALSE
2026-703,35,21-157.101,22B,,,,,,,,18-252.401,20B,,,,,,,,FALSE,FALSE
2026-702,24,21-214.107,12B - 14A,,,,,,,,14-063.103,10A - 09A,,,,,,,,FALSE,FALSE
2026-701,47,18-148.101,11A,,,,,,,,146C  6,09A,,,,,,,,FALSE,FALSE
2026-700,24,18-169.101,20B,,,,,,,,146C  6,09A,,,,,,,,FALSE,FALSE
2026-699,47,18-120.401,18A,,,,,,,,15-096.105,09A,,,,,,,,TRUE,TRUE
2026-698,35,19-248.401,22A,,,,,,,,16-007.401,20A,,,,,,,,FALSE,FALSE
2026-697,47,18-274.401,22A,,,,,,,,15-096.105,09A,,,,,,,,FALSE,FALSE
2026-696,35,21-161.105,12B,,,,,,,,_45K308,10A,,,,,,,,FALSE,FALSE
2026-695,24,18-252.401,20B,,,,,,,,18-168.104,11A,,,,,,,,FALSE,FALSE
2026-694,47,20-196.101,11B,,,,,,,,18-252.401,20B,,,,,,,,FALSE,FALSE
2026-693,24,18-148.101,11A,,,,,,,,16-094.404,20A,,,,,,,,FALSE,FALSE
2026-692,47,18-274.401,22A,,,,,,,,18-131.404,18B,,,,,,,,FALSE,FALSE
2026-691,24,18-169.101,20B,,,,,,,,16-094.404,20A,,,,,,,,FALSE,FALSE
2026-690,47,16-094.404,20A,,,,,,,,16-004.102,09B,,,,,,,,FALSE,FALSE
2026-689,24,21-161.105,12B,,,,,,,,18-120.401,18A,,,,,,,,FALSE,FALSE
2026-688,10,18-252.401,20B,,,,,,,,22-272.102,21B,,,,,,,,FALSE,FALSE
2026-687,10,18-252.401,20B,,,,,,,,22-272.101,21B,,,,,,,,FALSE,FALSE
2026-686,47,Q039.103,16A,,,,,,,,18-252.401,20B,,,,,,,,FALSE,FALSE
2026-685,24,21-161.105,12B,,,,,,,,18-274.401,22A,,,,,,,,FALSE,FALSE
2026-684,35,18-274.401,22A,,,,,,,,16-094.404,20A,,,,,,,,FALSE,FALSE
2026-683,10,18-120.401,18A,,,,,,,,22-325.103,23A,,,,,,,,FALSE,FALSE
2026-682,10,21-214.107,12B - 14A,,,,,,,,22-272.102,21B,,,,,,,,FALSE,FALSE
2026-681,10,21-214.107,12B - 14A,,,,,,,,22-272.101,21B,,,,,,,,FALSE,FALSE
2026-680,24,21-161.105,12B,,,,,,,,18-131.402,18B,,,,,,,,FALSE,FALSE
2026-679,10,18-274.401,22A,,,,,,,,22-325.103,23A,,,,,,,,FALSE,FALSE
2026-678,47,21-161.105,12B,,,,,,,,14-063.103,10A - 09A,,,,,,,,FALSE,FALSE
2026-677,24,18-252.401,20B,,,,,,,,15-059.102,09A,,,,,,,,FALSE,FALSE
2026-676,24,16-091.403,10B,,,,,,,,14-063.103,10A - 09A,,,,,,,,FALSE,FALSE
2026-675,24,16-094.404,20A,,,,,,,,14-063.103,10A - 09A,,,,,,,,FALSE,FALSE
