PROGENY,FLOWERS_TO_POLLINATE_REQUIRED,PARENT1,P1L1FC,P1L1,P1L2FC,P1L2,P1L3FC,P1L3,P1L4FC,P1L4,PARENT2,P2L1FC,P2L1,P2L2FC,P2L2,P2L3FC,P2L3,P2L4FC,P2L4,RECIPROCAL_DONE,NEW_LABELS
2026-512,36,S256.904,08B - 10A,,,,,,,,15-228.904,01B,,,,,,,,FALSE,FALSE
2026-511,24,S256.904,08B - 10A,,,,,,,,17-434.902,03A,,,,,,,,FALSE,FALSE
2026-510,24,S256.904,08B - 10A,,,,,,,,21-361.901,07A,,,,,,,,FALSE,FALSE
2026-509,12,S256.904,08B - 10A,,,,,,,,22-057.902,17B,,,,,,,,FALSE,FALSE
2026-508,24,S256.904,08B - 10A,,,,,,,,18-194.001,03B,,,,,,,,FALSE,FALSE
2026-507,12,S256.904,08B - 10A,,,,,,,,19-020.902,05B,,,,,,,,FALSE,FALSE
2026-506,12,S256.904,08B - 10A,,,,,,,,22-012.901,13A - 13B,,,,,,,,FALSE,FALSE
2026-505,12,S256.904,08B - 10A,,,,,,,,22-012.902,15A,,,,,,,,FALSE,FALSE
2026-504,12,S256.904,08B - 10A,,,,,,,,22-043.901,17A,,,,,,,,FALSE,FALSE
2026-503,12,S256.904,08B - 10A,,,,,,,,17-399.904,04A - 03A,,,,,,,,FALSE,FALSE
2026-502,12,S256.904,08B - 10A,,,,,,,,22-022.903,15B,,,,,,,,FALSE,FALSE
2026-501,12,S256.904,08B - 10A,,,,,,,,22-022.905,15B,,,,,,,,FALSE,FALSE
2026-500,11,18-005.001,03B,,,,,,,,16-127.101,10B,,,,,,,,FALSE,FALSE
2026-499,11,18-005.001,03B,,,,,,,,16-527.902,02B - 04A,,,,,,,,FALSE,FALSE
2026-498,4,18-005.001,03B,,,,,,,,16-007.401,20A,,,,,,,,FALSE,FALSE
2026-497,11,18-005.001,03B,,,,,,,,_45K308,10A,,,,,,,,FALSE,FALSE
2026-496,11,18-005.001,03B,,,,,,,,14-063.103,10A - 09A,,,,,,,,FALSE,FALSE
2026-495,11,18-005.001,03B,,,,,,,,16-176.101,10B,,,,,,,,FALSE,FALSE
2026-494,11,18-005.001,03B,,,,,,,,17-458.902,03A - 03B,,,,,,,,FALSE,FALSE
2026-493,21,18-029.004,03B,,,,,,,,_45K308,10A,,,,,,,,FALSE,FALSE
2026-492,11,18-132.401,18B,,,,,,,,18-005.001,03B,,,,,,,,FALSE,FALSE
2026-491,11,18-168.103,20A,,,,,,,,18-005.001,03B,,,,,,,,FALSE,FALSE
2026-490,11,18-168.104,11A,,,,,,,,18-005.001,03B,,,,,,,,FALSE,FALSE
2026-489,11,18-169.101,20B,,,,,,,,18-005.001,03B,,,,,,,,FALSE,FALSE
2026-488,11,18-233.401,20B,,,,,,,,18-005.001,03B,,,,,,,,FALSE,FALSE
2026-487,11,18-252.401,20B,,,,,,,,18-005.001,03B,,,,,,,,FALSE,FALSE
2026-486,9,18-274.401,22A,,,,,,,,_92D  9,10A,,,,,,,,FALSE,FALSE
2026-485,9,18-274.401,22A,,,,,,,,18-029.004,03B,,,,,,,,FALSE,FALSE
2026-484,5,18-274.401,22A,,,,,,,,18-005.001,03B,,,,,,,,FALSE,FALSE
2026-483,11,21-351.901,08A,,,,,,,,18-005.001,03B,,,,,,,,FALSE,FALSE
2026-482,11,18-005.001,03B,,,,,,,,22-044.903,19A,,,,,,,,FALSE,FALSE
2026-481,21,21-363.906,14B,,,,,,,,22-024.906,13B,,,,,,,,FALSE,FALSE
2026-480,21,21-363.906,14B,,,,,,,,22-045.904,19A,,,,,,,,TRUE,TRUE
2026-479,21,21-363.906,14B,,,,,,,,22-046.901,17A,,,,,,,,FALSE,FALSE
2026-478,21,19-021.904,05B,,,,,,,,16-405.901,02B,,,,,,,,FALSE,FALSE
2026-477,11,19-021.904,05B,,,,,,,,15-216.910,01B,,,,,,,,FALSE,FALSE
2026-476,51,21-349.908,08A,,,,,,,,19-021.905,06B,,,,,,,,FALSE,FALSE
2026-475,51,21-361.901,07A,,,,,,,,16-522.902,02B,,,,,,,,TRUE,TRUE
2026-474,21,21-361.901,07A,,,,,,,,15-228.904,01B,,,,,,,,TRUE,TRUE
2026-473,9,21-361.901,07A,,,,,,,,19-018.902,05A - 05B,,,,,,,,FALSE,FALSE
2026-472,9,21-363.906,14B,,,,,,,,21-361.901,07A,,,,,,,,FALSE,FALSE
2026-471,21,21-363.906,14B,,,,,,,,15-216.910,01B,,,,,,,,FALSE,FALSE
2026-470,51,21-363.906,14B,,,,,,,,17-096.913,04A,,,,,,,,FALSE,FALSE
2026-469,9,21-363.906,14B,,,,,,,,16-403.901,01B,,,,,,,,FALSE,FALSE
2026-468,21,21-365.909,07A,,,,,,,,15-216.910,01B,,,,,,,,FALSE,FALSE
2026-467,21,21-365.909,07A,,,,,,,,21-363.906,14B,,,,,,,,FALSE,FALSE
2026-466,21,15-216.910,01B,,,,,,,,22-004.902,16A,,,,,,,,FALSE,FALSE
2026-465,21,21-363.906,14B,,,,,,,,22-018.901,15A,,,,,,,,TRUE,TRUE
2026-464,21,21-361.901,07A,,,,,,,,22-019.904,15B,,,,,,,,TRUE,TRUE
2026-463,21,18-397.905,06A,,,,,,,,22-020.901,15B,,,,,,,,FALSE,FALSE
2026-462,21,21-361.901,07A,,,,,,,,22-024.906,13B,,,,,,,,TRUE,TRUE
2026-461,21,21-361.901,07A,,,,,,,,22-045.904,19A,,,,,,,,TRUE,TRUE
2026-460,21,19-021.904,05B,,,,,,,,22-050.901,17A,,,,,,,,FALSE,FALSE
2026-459,21,19-017.901,05A,,,,,,,,22-051.902,17A,,,,,,,,FALSE,FALSE
2026-458,21,19-021.904,05B,,,,,,,,22-055.902,17B,,,,,,,,FALSE,FALSE
2026-457,21,19-021.905,06B,,,,,,,,22-055.902,17B,,,,,,,,FALSE,FALSE
2026-456,21,21-363.906,14B,,,,,,,,22-056.901,17B,,,,,,,,FALSE,FALSE
2026-455,21,N244.903,07A,,,,,,,,22-051.902,17A,,,,,,,,FALSE,FALSE
2026-454,51,Q192.901,07B,,,,,,,,19-021.905,06B,,,,,,,,FALSE,FALSE
2026-453,51,Q192.901,07B,,,,,,,,19-017.901,05A,,,,,,,,FALSE,FALSE
2026-452,21,22-020.901,15B,,,,,,,,22-013.901,15A,,,,,,,,FALSE,FALSE
2026-451,4,18-005.001,03B,,,,,,,,15-216.910,01B,,,,,,,,FALSE,FALSE
2026-450,11,18-131.402,18B,,,,,,,,18-005.001,03B,,,,,,,,FALSE,FALSE
2026-449,9,21-351.901,08A,,,,,,,,18-233.401,20B,,,,,,,,FALSE,FALSE
2026-448,11,21-363.906,14B,,,,,,,,18-005.001,03B,,,,,,,,FALSE,FALSE
2026-447,21,21-365.909,07A,,,,,,,,16-007.401,20A,,,,,,,,FALSE,FALSE
2026-446,21,21-365.910,07A,,,,,,,,16-007.401,20A,,,,,,,,FALSE,FALSE
2026-445,11,18-005.001,03B,,,,,,,,22-004.902,16A,,,,,,,,FALSE,FALSE
2026-444,21,18-233.401,20B,,,,,,,,22-044.903,19A,,,,,,,,FALSE,FALSE
2026-443,11,18-005.001,03B,,,,,,,,22-085.903,19B,,,,,,,,FALSE,FALSE
2026-442,11,S256.901,08B,,,,,,,,18-005.001,03B,,,,,,,,FALSE,FALSE
2026-441,21,16-178.101,10B - 12A,,,,,,,,22-044.901,19A,,,,,,,,FALSE,FALSE
2026-440,21,16-178.101,10B - 12A,,,,,,,,22-020.901,15B,,,,,,,,FALSE,FALSE
2026-439,21,16-178.101,10B - 12A,,,,,,,,22-008.901,13A,,,,,,,,FALSE,FALSE
2026-438,9,16-091.403,10B,,,,,,,,16-007.401,20A,,,,,,,,FALSE,FALSE
2026-437,9,16-094.404,20A,,,,,,,,16-007.401,20A,,,,,,,,FALSE,FALSE
2026-436,21,16-178.101,10B - 12A,,,,,,,,16-007.401,20A,,,,,,,,FALSE,FALSE
2026-435,4,18-005.001,03B,,,,,,,,16-094.404,20A,,,,,,,,FALSE,FALSE
2026-434,11,18-005.001,03B,,,,,,,,16-058.403,09B,,,,,,,,FALSE,FALSE
2026-433,11,18-131.401,18A,,,,,,,,18-005.001,03B,,,,,,,,FALSE,FALSE
2026-432,21,18-131.405,18B,,,,,,,,16-007.401,20A,,,,,,,,FALSE,FALSE
2026-431,11,18-145.103,18B,,,,,,,,18-005.001,03B,,,,,,,,FALSE,FALSE
2026-430,11,18-169.101,20B,,,,,,,,16-007.401,20A,,,,,,,,FALSE,FALSE
2026-429,21,18-233.401,20B,,,,,,,,16-007.401,20A,,,,,,,,FALSE,FALSE
2026-428,11,20-114.105,11B,,,,,,,,16-007.401,20A,,,,,,,,FALSE,FALSE
2026-427,9,21-351.901,08A,,,,,,,,18-252.401,20B,,,,,,,,FALSE,FALSE
2026-426,21,18-252.401,20B,,,,,,,,22-044.903,19A,,,,,,,,FALSE,FALSE
2026-425,11,S010.104,16B,,,,,,,,18-005.001,03B,,,,,,,,FALSE,FALSE
2026-424,41,17-435.901,03A,,,,,,,,21-363.906,14B,,,,,,,,FALSE,FALSE
2026-423,21,21-363.906,14B,,,,,,,,22-004.902,16A,,,,,,,,FALSE,FALSE
2026-422,21,21-363.906,14B,,,,,,,,22-005.907,13A,,,,,,,,FALSE,FALSE
2026-421,31,19-008.901,05A,,,,,,,,_45K308,10A,,,,,,,,FALSE,FALSE
2026-420,51,19-248.401,22A,,,,,,,,_45K308,10A,,,,,,,,FALSE,FALSE
2026-419,21,19-248.401,22A,,,,,,,,15-216.910,01B,,,,,,,,FALSE,FALSE
2026-418,21,18-274.401,22A,,,,,,,,22-052.906,17A,,,,,,,,FALSE,FALSE
2026-417,21,S022.102,16B,,,,,,,,22-044.903,19A,,,,,,,,FALSE,FALSE
2026-416,9,21-363.906,14B,,,,,,,,21-349.908,08A,,,,,,,,FALSE,FALSE
2026-415,21,21-363.906,14B,,,,,,,,22-051.902,17A,,,,,,,,TRUE,TRUE
2026-414,21,19-017.901,05A,,,,,,,,22-053.901,17A,,,,,,,,FALSE,FALSE
2026-413,21,19-017.901,05A,,,,,,,,22-043.902,13A - 13B,,,,,,,,FALSE,FALSE
2026-412,21,19-017.901,05A,,,,,,,,22-008.902,13A,,,,,,,,FALSE,FALSE
2026-411,21,19-017.901,05A,,,,,,,,22-043.904,19A,,,,,,,,FALSE,FALSE
2026-410,21,19-017.901,05A,,,,,,,,22-005.904,13A,,,,,,,,FALSE,FALSE
2026-409,21,19-017.901,05A,,,,,,,,22-051.901,17A,,,,,,,,FALSE,FALSE
2026-408,21,20-031.902,08A,,,,,,,,22-044.901,19A,,,,,,,,FALSE,FALSE
2026-407,21,20-031.902,08A,,,,,,,,22-008.901,13A,,,,,,,,FALSE,FALSE
2026-406,21,20-031.904,08A,,,,,,,,22-020.901,15B,,,,,,,,FALSE,FALSE
2026-405,21,16-178.101,10B - 12A,,,,,,,,_92D  9,10A,,,,,,,,FALSE,FALSE
2026-404,21,17-344.401,18A,,,,,,,,_92D  9,10A,,,,,,,,FALSE,FALSE
2026-403,9,18-029.004,03B,,,,,,,,16-178.101,10B - 12A,,,,,,,,FALSE,FALSE
2026-402,41,18-031.002,03B,,,,,,,,_92D  9,10A,,,,,,,,FALSE,FALSE
2026-401,21,18-169.101,20B,,,,,,,,_92D  9,10A,,,,,,,,FALSE,FALSE
2026-400,21,_92D  9,10A,,,,,,,,22-046.901,17A,,,,,,,,FALSE,FALSE
2026-399,21,P187.001,07A,,,,,,,,_92D  9,10A,,,,,,,,FALSE,FALSE
2026-398,21,19-017.901,05A,,,,,,,,22-044.901,19A,,,,,,,,FALSE,FALSE
2026-397,21,19-017.901,05A,,,,,,,,22-008.901,13A,,,,,,,,FALSE,FALSE
2026-396,9,R068.104,16A,,,,,,,,15-228.904,01B,,,,,,,,FALSE,FALSE
2026-395,9,R068.104,16A,,,,,,,,15-216.910,01B,,,,,,,,FALSE,FALSE
2026-394,21,R068.104,16A,,,,,,,,22-045.904,19A,,,,,,,,FALSE,FALSE
2026-393,21,16-416.901,02B,,,,,,,,22-004.901,23A - 23B,,,,,,,,FALSE,FALSE
2026-392,21,16-416.901,02B,,,,,,,,22-004.902,16A,,,,,,,,FALSE,FALSE
2026-391,21,R068.104,16A,,,,,,,,22-057.903,19B,,,,,,,,FALSE,FALSE
2026-390,21,R068.104,16A,,,,,,,,22-057.901,17B,,,,,,,,FALSE,FALSE
2026-389,21,R068.104,16A,,,,,,,,22-057.902,17B,,,,,,,,FALSE,FALSE
2026-388,11,19-017.901,05A,,,,,,,,15-216.910,01B,,,,,,,,FALSE,FALSE
2026-387,9,19-043.902,08A,,,,,,,,15-216.910,01B,,,,,,,,FALSE,FALSE
2026-386,21,19-021.905,06B,,,,,,,,22-055.901,17B,,,,,,,,FALSE,FALSE
2026-385,21,19-018.902,05A - 05B,,,,,,,,22-055.901,17B,,,,,,,,FALSE,FALSE
2026-384,21,19-021.914,06B,,,,,,,,22-050.901,17A,,,,,,,,FALSE,FALSE
2026-383,10,_45K308,10A,,,,,,,,20-029.909,Budwood for P2 - Budwood for P2,,,,,,,,FALSE,FALSE
2026-382,10,_45K308,10A,,,,,,,,20-024.904,Budwood for P2 - Budwood for P2,,,,,,,,FALSE,FALSE
2026-381,10,19-018.903,05B,,,,,,,,20-024.904,Budwood for P2 - Budwood for P2,,,,,,,,FALSE,FALSE
2026-380,10,19-018.903,05B,,,,,,,,20-029.909,Budwood for P2 - Budwood for P2,,,,,,,,FALSE,FALSE
2026-379,10,19-025.903,06B,,,,,,,,20-024.904,Budwood for P2 - Budwood for P2,,,,,,,,FALSE,FALSE
2026-378,10,19-025.903,06B,,,,,,,,20-029.909,Budwood for P2 - Budwood for P2,,,,,,,,FALSE,FALSE
2026-377,10,18-377.905,06A,,,,,,,,20-325.907,Budwood for P2 - Budwood for P2,,,,,,,,FALSE,FALSE
2026-376,247,16-058.402,,,,,,,,,18-262.401,,,,,,,,,FALSE,FALSE
2026-375,247,17-009.102,,,,,,,,,18-262.401,,,,,,,,,FALSE,FALSE
2026-374,247,18-262.401,,,,,,,,,17-040.102,,,,,,,,,FALSE,FALSE
2026-373,412,17-344.401,,,,,,,,,18-262.401,,,,,,,,,FALSE,FALSE
2026-372,24,18-145.103,18B,,,,,,,,18-215.101,11A,,,,,,,,FALSE,FALSE
2026-371,35,P192.104,24A,,,,,,,,18-145.103,18B,,,,,,,,FALSE,FALSE
2026-370,24,18-169.101,20B,,,,,,,,18-145.103,18B,,,,,,,,FALSE,FALSE
2026-369,35,P192.104,24A,,,,,,,,18-215.101,11A,,,,,,,,FALSE,FALSE
2026-368,35,19-274.402,22A - 24B,,,,,,,,18-215.101,11A,,,,,,,,FALSE,FALSE
2026-367,35,R069.101,16A,,,,,,,,20-121.102,11B,,,,,,,,FALSE,FALSE
2026-366,35,18-145.103,18B,,,,,,,,20-121.102,11B,,,,,,,,FALSE,FALSE
2026-365,24,18-215.101,11A,,,,,,,,20-121.102,11B,,,,,,,,FALSE,FALSE
2026-364,1143,16-136.403,,,,,,,,,19-081.402,,,,,,,,,FALSE,FALSE
2026-363,457,20-384.402,,,,,,,,,18-255.403,,,,,,,,,FALSE,FALSE
2026-362,1828,19-081.402,,,,,,,,,18-282.403,,,,,,,,,FALSE,FALSE
2026-361,686,19-274.403,,,,,,,,,18-282.403,,,,,,,,,FALSE,FALSE
2026-360,686,18-265.403,,,,,,,,,16-091.403,,,,,,,,,FALSE,FALSE
2026-359,686,18-265.403,,,,,,,,,16-346.501,,,,,,,,,FALSE,FALSE
2026-358,457,18-131.402,,,,,,,,,16-072.403,,,,,,,,,FALSE,FALSE
2026-357,457,20-408.406,,,,,,,,,16-063.402,,,,,,,,,FALSE,FALSE
2026-356,457,18-183.101,,,,,,,,,16-063.402,,,,,,,,,FALSE,FALSE
2026-355,457,_45K308,,,,,,,,,17-492.402,,,,,,,,,FALSE,FALSE
2026-354,457,20-420.402,,,,,,,,,R008.102,,,,,,,,,FALSE,FALSE
2026-353,686,17-492.402,,,,,,,,,18-131.404,,,,,,,,,FALSE,FALSE
2026-352,1143,16-072.403,,,,,,,,,20-384.403,,,,,,,,,FALSE,FALSE
2026-351,686,16-112.401,,,,,,,,,20-427.402,,,,,,,,,FALSE,FALSE
2026-350,457,17-016.102,,,,,,,,,16-112.401,,,,,,,,,FALSE,FALSE
2026-349,457,20-384.403,,,,,,,,,18-168.104,,,,,,,,,FALSE,FALSE
2026-348,457,_45K308,,,,,,,,,16-091.403,,,,,,,,,FALSE,FALSE
2026-347,457,R068.101,,,,,,,,,17-040.102,,,,,,,,,FALSE,FALSE
2026-346,457,18-131.405,,,,,,,,,17-040.102,,,,,,,,,FALSE,FALSE
2026-345,457,16-136.403,,,,,,,,,17-040.102,,,,,,,,,FALSE,FALSE
2026-344,457,18-265.404,,,,,,,,,17-040.102,,,,,,,,,FALSE,FALSE
2026-343,457,18-131.401,,,,,,,,,17-040.102,,,,,,,,,FALSE,FALSE
2026-342,457,18-137.402,,,,,,,,,17-040.102,,,,,,,,,FALSE,FALSE
2026-341,457,17-040.102,,,,,,,,,16-136.402,,,,,,,,,FALSE,FALSE
2026-340,686,18-234.401,,,,,,,,,18-183.101,,,,,,,,,FALSE,FALSE
2026-339,457,19-274.403,,,,,,,,,18-234.401,,,,,,,,,FALSE,FALSE
2026-338,457,19-274.401,,,,,,,,,18-132.401,,,,,,,,,FALSE,FALSE
2026-337,457,P192.104,,,,,,,,,16-346.501,,,,,,,,,FALSE,FALSE
2026-336,686,P192.104,,,,,,,,,20-408.404,,,,,,,,,FALSE,FALSE
2026-335,457,P192.104,,,,,,,,,16-137.403,,,,,,,,,FALSE,FALSE
2026-334,457,P192.104,,,,,,,,,18-132.401,,,,,,,,,FALSE,FALSE
2026-333,457,P192.104,,,,,,,,,19-274.401,,,,,,,,,FALSE,FALSE
2026-332,457,19-281.401,,,,,,,,,R075.103,,,,,,,,,FALSE,FALSE
2026-331,686,18-250.402,,,,,,,,,19-009.401,,,,,,,,,FALSE,FALSE
2026-330,457,19-174.401,,,,,,,,,18-137.401,,,,,,,,,FALSE,FALSE
2026-329,686,18-129.401,,,,,,,,,16-058.402,,,,,,,,,FALSE,FALSE
2026-328,457,19-163.403,,,,,,,,,19-081.105,,,,,,,,,FALSE,FALSE
2026-327,457,20-384.402,,,,,,,,,18-137.401,,,,,,,,,FALSE,FALSE
2026-326,686,20-408.406,,,,,,,,,18-183.101,,,,,,,,,FALSE,FALSE
2026-325,686,P192.104,,,,,,,,,16-091.403,,,,,,,,,FALSE,FALSE
2026-324,457,16-091.403,,,,,,,,,19-276.402,,,,,,,,,FALSE,FALSE
2026-323,457,19-276.402,,,,,,,,,18-131.405,,,,,,,,,FALSE,FALSE
2026-322,457,19-171.401,,,,,,,,,16-137.403,,,,,,,,,FALSE,FALSE
2026-321,457,18-185.108,,,,,,,,,16-091.403,,,,,,,,,FALSE,FALSE
2026-320,457,18-265.404,,,,,,,,,R068.104,,,,,,,,,FALSE,FALSE
2026-319,686,19-081.105,,,,,,,,,18-265.404,,,,,,,,,FALSE,FALSE
2026-318,457,18-131.405,,,,,,,,,18-138.102,,,,,,,,,FALSE,FALSE
2026-317,457,20-408.402,,,,,,,,,18-138.102,,,,,,,,,FALSE,FALSE
2026-316,457,18-183.101,,,,,,,,,R075.103,,,,,,,,,FALSE,FALSE
2026-315,457,18-131.402,,,,,,,,,18-250.402,,,,,,,,,FALSE,FALSE
2026-314,457,18-233.401,,,,,,,,,18-129.401,,,,,,,,,FALSE,FALSE
2026-313,686,18-250.402,,,,,,,,,16-091.403,,,,,,,,,FALSE,FALSE
2026-312,457,19-278.401,,,,,,,,,18-250.402,,,,,,,,,FALSE,FALSE
2026-311,457,20-374.401,,,,,,,,,18-265.403,,,,,,,,,FALSE,FALSE
2026-310,1143,20-408.402,,,,,,,,,18-131.401,,,,,,,,,FALSE,FALSE
2026-309,457,18-234.401,,,,,,,,,20-374.401,,,,,,,,,FALSE,FALSE
2026-374,31,17-040.102,Terraza 2,B06,,,,,,,18-262.401,,,,,,,,,FALSE,FALSE
2026-265,66,16-136.403,Terraza 2,B06,Terraza 2,B06,,,,,23P345.002R,,B09,,,,,,,FALSE,FALSE
2026-268,66,16-112.102,,,,,,,,,19-248.401,,,,,,,,,FALSE,FALSE
2026-270,66,16-112.102,,,,,,,,,19-281.402,,,,,,,,,FALSE,FALSE
2026-272,66,19-248.401,,,,,,,,,16-058.404,,,,,,,,,TRUE,TRUE
2026-274,66,Q097.101,,,,,,,,,19-274.403,,,,,,,,,FALSE,FALSE
2026-276,66,16-058.403,,,,,,,,,19-274.403,,,,,,,,,FALSE,FALSE
2026-278,66,16-091.401,,,,,,,,,23P396.007,,,,,,,,,FALSE,FALSE
2026-280,66,15-060.102,,,,,,,,,16-091.401,,,,,,,,,FALSE,FALSE
2026-282,66,T075.103,,,,,,,,,16-091.401,,,,,,,,,FALSE,FALSE
2026-284,66,16-136.403,Terraza 2,B06,Terraza 2,B06,,,,,16-091.401,,,,,,,,,FALSE,FALSE
2026-286,66,16-136.403,Terraza 2,B06,Terraza 2,B06,,,,,23P396.007,,,,,,,,,FALSE,FALSE
2026-288,66,16-136.403,Terraza 2,B06,Terraza 2,B06,,,,,23P364.002,,,,,,,,,FALSE,FALSE
2026-290,66,16-136.403,Terraza 2,B06,Terraza 2,B06,,,,,23P397.004,,,,,,,,,FALSE,FALSE
2026-292,66,16-136.403,Terraza 2,B06,Terraza 2,B06,,,,,23P396.005,,,,,,,,,FALSE,FALSE
2026-294,66,16-136.403,Terraza 2,B06,Terraza 2,B06,,,,,23P408.001,,,,,,,,,FALSE,FALSE
2026-296,66,23P408.001,,,,,,,,,19-248.401,,,,,,,,,FALSE,FALSE
2026-298,66,23P360.001,,,,,,,,,19-248.401,,,,,,,,,FALSE,FALSE
2026-300,66,23P393.002,,,,,,,,,19-248.401,,,,,,,,,FALSE,FALSE
2026-302,66,17-009.102,,,,,,,,,19-248.401,,,,,,,,,FALSE,FALSE
2026-304,66,16-091.401,,,,,,,,,19-248.401,,,,,,,,,FALSE,FALSE
2026-306,66,16-094.404,,,,,,,,,18-262.401,,,,,,,,,FALSE,FALSE
2026-267,66,17-037.103,Terraza 2,B06,,,,,,,17-040.102,Terraza 2,B06,,,,,,,FALSE,FALSE
2026-269,66,16-112.102,,,,,,,,,19-251.401,,,,,,,,,FALSE,FALSE
2026-271,66,19-251.401,,,,,,,,,16-058.404,,,,,,,,,FALSE,FALSE
2026-273,66,17-040.102,Terraza 2,B06,,,,,,,19-274.403,,,,,,,,,FALSE,FALSE
2026-275,66,16-136.403,Terraza 2,B06,Terraza 2,B06,,,,,19-274.403,,,,,,,,,FALSE,FALSE
2026-277,66,16-058.402,,,,,,,,,19-274.403,,,,,,,,,FALSE,FALSE
2026-279,66,16-112.102,,,,,,,,,16-091.401,,,,,,,,,FALSE,FALSE
2026-281,66,16-058.402,,,,,,,,,16-091.401,,,,,,,,,FALSE,FALSE
2026-283,66,16-058.404,,,,,,,,,16-091.401,,,,,,,,,FALSE,FALSE
2026-285,66,17-037.103,Terraza 2,B06,,,,,,,16-091.401,,,,,,,,,FALSE,FALSE
2026-287,66,16-136.403,Terraza 2,B06,Terraza 2,B06,,,,,23P414.001,,,,,,,,,FALSE,FALSE
2026-289,66,16-136.403,Terraza 2,B06,Terraza 2,B06,,,,,23P360.001,,,,,,,,,FALSE,FALSE
2026-291,66,16-136.403,Terraza 2,B06,Terraza 2,B06,,,,,23P405.004,,,,,,,,,FALSE,FALSE
2026-293,66,16-136.403,Terraza 2,B06,Terraza 2,B06,,,,,23P393.002,,,,,,,,,FALSE,FALSE
2026-295,66,16-136.403,Terraza 2,B06,Terraza 2,B06,,,,,19-251.401,,,,,,,,,FALSE,FALSE
2026-297,66,23P364.002,,,,,,,,,19-248.401,,,,,,,,,FALSE,FALSE
2026-299,66,23P396.005,,,,,,,,,19-248.401,,,,,,,,,FALSE,FALSE
2026-301,66,23P396.007,,,,,,,,,19-248.401,,,,,,,,,FALSE,FALSE
2026-303,66,16-136.403,Terraza 2,B06,Terraza 2,B06,,,,,19-248.401,,,,,,,,,FALSE,FALSE
2026-305,66,19-281.402,,,,,,,,,18-262.401,,,,,,,,,FALSE,FALSE
2026-307,66,16-063.402,,,,,,,,,18-262.401,,,,,,,,,FALSE,FALSE
