Cross List,Cross List,Cross List,Cross List,Cross List,Cross List,Cross List,Cross List,Cross List,Cross List,Cross List,Cross List,Cross List,Cross List,Marker List,Marker List,Marker List,Marker List,Marker List,Marker List,Marker List,Marker List,Marker List,Marker List,Marker List,Marker List,Marker List,Marker List
Berry,Pollination Year,Blank,Progeny,Blank,Parent1,Parent2,Blank,Cross Designed By,Blank,Team,Team,D1 Program,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank
Berry,Pollination Year,Label No,Cross,Parentage1,Parent1,Parent2,Parentage2,Author,Duplicate,Cross Location,Crosses Grown,Program,Purpose,Cucamonga~rejection,Timpanogos~rejection,Pisco~rejection,Stromboli~rejection,Kea~rejection,Fansipan~rejection,Teide~rejection,Cucamonga~segregation_ratio,Timpanogos~segregation_ratio,Pisco~segregation_ratio,Stromboli~segregation_ratio,Kea~segregation_ratio,Fansipan~segregation_ratio,Teide~segregation_ratio
